id,area,population,unemployee,crime
01664,北海道 標茶町,8936,174,99
01665,北海道 弟子屈町,9023,204,58
01667,北海道 鶴居村,2672,57,25
01668,北海道 白糠町,10397,325,87
01691,北海道 別海町,16460,193,89
01692,北海道 中標津町,23792,548,267
01693,北海道 標津町,6063,119,48
01694,北海道 羅臼町,6540,88,21
02201,青森県 青森市,311508,14561,3821
02202,青森県 弘前市,189043,6455,2641
02203,青森県 八戸市,244700,11418,2741
02204,青森県 黒石市,38455,1667,346
02205,青森県 五所川原市,62181,3113,651
02206,青森県 十和田市,68359,2416,718
02207,青森県 三沢市,42425,1532,557
02208,青森県 むつ市,64052,3009,506
02209,青森県 つがる市,40091,2248,264
02210,青森県 平川市,35336,1564,244
02301,青森県 平内町,13483,541,62
02303,青森県 今別町,3816,267,9
02304,青森県 蓬田村,3405,179,11
02307,青森県 外ヶ浜町,8215,412,21
02321,青森県 鰺ヶ沢町,12662,604,70
02323,青森県 深浦町,10910,354,68
02343,青森県 西目屋村,1597,45,21
02361,青森県 藤崎町,16495,639,137
02362,青森県 大鰐町,11921,522,85
02367,青森県 田舎館村,8541,366,66
02381,青森県 板柳町,16222,839,73
02384,青森県 鶴田町,15218,864,62
02387,青森県 中泊町,14184,1057,31
02401,青森県 野辺地町,15218,605,131
02402,青森県 七戸町,18471,777,99
02405,青森県 六戸町,10430,346,81
02406,青森県 横浜町,5097,184,21
02408,青森県 東北町,20016,772,110
02411,青森県 六ヶ所村,11401,385,59
02412,青森県 おいらせ町,24172,961,344
